season,keyword,polarity,TeamID
2008,NBA Atlanta Hawks,-0.084126984,1610612737
2008,NBA Boston Celtics,0.095420511,1610612738
2008,NBA Brooklyn Nets,0.092679289,1610612751
2008,NBA Charlotte Hornets,0.048395722,1610612766
2008,NBA Chicago Bulls,0.232767065,1610612741
2008,NBA Cleveland Cavaliers,0.024715909,1610612739
2008,NBA Dallas Mavericks,-0.017482517,1610612742
2008,NBA Denver Nuggets,-0.037116325,1610612743
2008,NBA Detroit Pistons,0.162606838,1610612765
2008,NBA Golden State Warriors,0.220170455,1610612744
2008,NBA Houston Rockets,-0.108333333,1610612745
2008,NBA Indiana Pacers,0.093315508,1610612754
2008,NBA Los Angeles Clippers,0.08882716,1610612746
2008,NBA Los Angeles Lakers,0.070399113,1610612747
2008,NBA Memphis Grizzlies,-0.023538961,1610612763
2008,NBA Miami Heat,0.042424242,1610612748
2008,NBA Milwaukee Bucks,0.046232057,1610612749
2008,NBA Minnesota Timberwolves,0.04080287,1610612750
2008,NBA New Orleans Pelicans,0.140969697,1610612740
2008,NBA New York Knicks,0.068473193,1610612752
2008,NBA Oklahoma City Thunder,-0.011286882,1610612760
2008,NBA Orlando Magic,0.371182528,1610612753
2008,NBA Philadelphia 76ers,0.073712121,1610612755
2008,NBA Phoenix Suns,-0.064912281,1610612756
2008,NBA Portland Trail Blazers,-0.112587413,1610612757
2008,NBA Sacramento Kings,-0.154166667,1610612758
2008,NBA San Antonio Spurs,0.097474747,1610612759
2008,NBA Toronto Raptors,0.001636003,1610612761
2008,NBA Utah Jazz,0.041948052,1610612762
2008,NBA Washington Wizards,0.086713287,1610612764
2009,NBA Atlanta Hawks,0.143358749,1610612737
2009,NBA Boston Celtics,0.104557259,1610612738
2009,NBA Brooklyn Nets,0.150318286,1610612751
2009,NBA Charlotte Hornets,0.061195961,1610612766
2009,NBA Chicago Bulls,0.121840488,1610612741
2009,NBA Cleveland Cavaliers,0.076493269,1610612739
2009,NBA Dallas Mavericks,0.092042892,1610612742
2009,NBA Denver Nuggets,0.076304327,1610612743
2009,NBA Detroit Pistons,0.114359285,1610612765
2009,NBA Golden State Warriors,0.265747483,1610612744
2009,NBA Houston Rockets,0.106707233,1610612745
2009,NBA Indiana Pacers,0.060540858,1610612754
2009,NBA Los Angeles Clippers,0.068801383,1610612746
2009,NBA Los Angeles Lakers,0.115729731,1610612747
2009,NBA Memphis Grizzlies,0.068191373,1610612763
2009,NBA Miami Heat,0.072546612,1610612748
2009,NBA Milwaukee Bucks,0.05109242,1610612749
2009,NBA Minnesota Timberwolves,0.062074265,1610612750
2009,NBA New Orleans Pelicans,0.13840025,1610612740
2009,NBA New York Knicks,0.139049382,1610612752
2009,NBA Oklahoma City Thunder,0.096042546,1610612760
2009,NBA Orlando Magic,0.387650189,1610612753
2009,NBA Philadelphia 76ers,0.089301483,1610612755
2009,NBA Phoenix Suns,0.083248166,1610612756
2009,NBA Portland Trail Blazers,0.128311847,1610612757
2009,NBA Sacramento Kings,0.049474225,1610612758
2009,NBA San Antonio Spurs,0.073767126,1610612759
2009,NBA Toronto Raptors,0.092359051,1610612761
2009,NBA Utah Jazz,0.073920529,1610612762
2009,NBA Washington Wizards,0.087348238,1610612764
2010,NBA Atlanta Hawks,0.057177124,1610612737
2010,NBA Boston Celtics,0.061544568,1610612738
2010,NBA Brooklyn Nets,0.14197344,1610612751
2010,NBA Charlotte Hornets,0.053845957,1610612766
2010,NBA Chicago Bulls,0.09450103,1610612741
2010,NBA Cleveland Cavaliers,0.057643878,1610612739
2010,NBA Dallas Mavericks,0.014051788,1610612742
2010,NBA Denver Nuggets,0.056574458,1610612743
2010,NBA Detroit Pistons,0.070884598,1610612765
